,in.geometry_floor_area,in.heating_fuel,in.insulation_wall,in.heating_setpoint,in.representative_income,in.infiltration,in.duct_leakage_and_insulation,in.hvac_heating_type,in.tenure,in.vintage,in.cooling_setpoint,bldg_id,in.geometry_foundation_type,in.hvac_heating_efficiency,in.occupants,in.refrigerator,in.water_heater_efficiency,in.bedrooms,in.window_areas,in.windows,out.site_energy.total.energy_consumption.kwh,in.geometry_building_type_recs,in.geometry_stories,in.geometry_building_number_units_mf,in.vintage_acs,in.hvac_cooling_type,in.geometry_wall_type,in.roof_material,in.geometry_garage,in.geometry_attic_type
464,750-999,Fuel Oil,"Brick, 12-in, 3-wythe, Uninsulated",70F,38588,15 ACH50,,Non-Ducted Heating,Owner,1940s,70F,423932,Vented Crawlspace,"Fuel Wall/Floor Furnace, 68% AFUE",1,EF 19.9,Fuel Oil Premium,2,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",41545.7549076142,Single-Family Detached,2,,1940-59,Room AC,Brick,Composition Shingles,1 Car,Unvented Attic
465,500-749,Propane,"Wood Stud, R-7",55F,0,15 ACH50,"30% Leakage to Outside, R-4",Ducted Heating,Not Available,1970s,78F,423977,Slab,"Fuel Furnace, 80% AFUE",0,EF 17.6,Electric Standard,1,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",8887.38020297264,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,,Vented Attic
466,2500-2999,Fuel Oil,"Wood Stud, R-19",70F,89311,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,425234,Heated Basement,"Fuel Furnace, 92.5% AFUE",6,EF 17.6,Fuel Oil Premium,4,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",40892.4994922003,Single-Family Detached,3,,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
467,3000-3999,Natural Gas,"Wood Stud, R-7",68F,42426,7 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1970s,70F,426211,Slab,"Fuel Furnace, 80% AFUE",2,EF 15.9,Natural Gas Standard,4,F9 B9 L9 R9,"Double, Clear, Metal, Air",57903.8097603469,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
468,500-749,Propane,"Wood Stud, Uninsulated",55F,0,7 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1960s,65F,426971,Slab,"Fuel Furnace, 80% AFUE",0,EF 17.6,Propane Premium,2,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",10933.3093438449,Single-Family Detached,3,,1960-79,Room AC,Wood Frame,Composition Shingles,,Finished Attic or Cathedral Ceilings
469,4000+,Fuel Oil,"Wood Stud, Uninsulated",70F,31921,8 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,427198,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Standard,5,F6 B6 L6 R6,"Double, Clear, Non-metal, Air",109283.271356519,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,
470,1500-1999,Natural Gas,"Brick, 12-in, 3-wythe, R-11",75F,89096,10 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Renter,2000s,70F,427357,Heated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",2,EF 19.9,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",30911.3780553449,Single-Family Attached,2,,2000-09,Central AC,Brick,"Tile, Clay or Ceramic",,Vented Attic
471,750-999,Electricity,"Wood Stud, Uninsulated",70F,4219,20 ACH50,,Non-Ducted Heating,Renter,<1940,72F,428121,Unheated Basement,"Electric Baseboard, 100% Efficiency",4,EF 17.6,Electric Standard,3,F9 B9 L9 R9,"Single, Clear, Non-metal",29791.2604251467,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Wood Frame,Wood Shingles,,
472,500-749,Natural Gas,"Wood Stud, Uninsulated",68F,4187,40 ACH50,,Non-Ducted Heating,Renter,<1940,78F,428639,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,Natural Gas Premium,1,F15 B15 L15 R15,"Single, Clear, Non-metal",34455.4865069376,Multi-Family with 2 - 4 Units,3,3.0,<1940,Room AC,Wood Frame,Wood Shingles,,
473,1500-1999,Fuel Oil,"Wood Stud, Uninsulated",60F,68718,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,65F,430631,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 10.5,FIXME Fuel Oil Indirect,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",40767.0650741666,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,Composition Shingles,,Vented Attic
474,500-749,Electricity,"Brick, 12-in, 3-wythe, Uninsulated",72F,42184,40 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heat Pump,Renter,<1940,65F,430938,Unheated Basement,"ASHP, SEER 15, 8.5 HSPF",1,EF 19.9,Natural Gas Standard,1,F18 B18 L18 R18,"Double, Clear, Metal, Air",16053.2609397536,Multi-Family with 2 - 4 Units,2,2.0,<1940,Ducted Heat Pump,Brick,Composition Shingles,,
475,2500-2999,Propane,"Wood Stud, R-19",55F,0,10 ACH50,"10% Leakage to Outside, R-6",Ducted Heating,Not Available,2010s,72F,431482,Unheated Basement,"Fuel Furnace, 80% AFUE",0,EF 17.6,Electric Standard,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",16518.9508702573,Single-Family Detached,2,,2010s,,Wood Frame,Composition Shingles,2 Car,
476,750-999,Electricity,"Wood Stud, R-19",70F,42184,7 ACH50,,Non-Ducted Heating,Renter,2000s,60F,433185,Unheated Basement,Shared Heating,1,EF 19.9,Electric Standard,1,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",7868.07902091365,Multi-Family with 5+ Units,2,10.0,2000-09,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
477,750-999,Natural Gas,"Wood Stud, Uninsulated",68F,54023,25 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,435233,Heated Basement,"Fuel Furnace, 92.5% AFUE",1,EF 19.9,Electric Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal, Exterior Clear Storm",26654.5207610934,Single-Family Detached,1,,<1940,,Wood Frame,Composition Shingles,1 Car,Vented Attic
478,1000-1499,Propane,"Wood Stud, R-19",70F,74877,7 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,437111,Heated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Standard,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",23110.7053805709,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Wood Shingles,1 Car,Vented Attic
479,500-749,Electricity,"Brick, 12-in, 3-wythe, Uninsulated",65F,19323,30 ACH50,,Non-Ducted Heating,Renter,1950s,65F,437117,Vented Crawlspace,"Electric Baseboard, 100% Efficiency",1,EF 17.6,Electric Standard,1,F9 B9 L9 R9,"Double, Clear, Metal, Air",11192.0910988069,Multi-Family with 5+ Units,3,10.0,1940-59,Room AC,Brick,"Asphalt Shingles, Medium",,
480,750-999,Propane,"Brick, 12-in, 3-wythe, Uninsulated",67F,68718,20 ACH50,,Non-Ducted Heating,Renter,1950s,70F,437744,Slab,Shared Heating,2,EF 17.6,Propane Standard,1,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",23350.1444449016,Multi-Family with 2 - 4 Units,2,2.0,1940-59,Room AC,Brick,"Asphalt Shingles, Medium",,
481,1000-1499,Fuel Oil,"Wood Stud, R-11",68F,22473,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,70F,437753,Ambient,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Standard,3,F15 B15 L15 R15,"Single, Clear, Metal",28542.1915240727,Mobile Home,1,,1980-99,Central AC,Wood Frame,"Metal, Dark",,
482,750-999,Natural Gas,"Wood Stud, R-11",68F,108692,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,438346,Ambient,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Premium,2,F18 B18 L18 R18,"Double, Clear, Non-metal, Air, Exterior Clear Storm",19864.6502073433,Mobile Home,1,,1980-99,Room AC,Wood Frame,Composition Shingles,,
483,2000-2499,Other Fuel,"Wood Stud, Uninsulated",70F,267342,15 ACH50,,Non-Ducted Heating,Owner,<1940,62F,438421,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",3,EF 17.6,Fuel Oil Premium,5,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",12015.9138770611,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Wood Shingles,,Vented Attic
484,1000-1499,Natural Gas,"Wood Stud, Uninsulated",68F,22223,25 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,70F,438492,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",1,EF 19.9,Natural Gas Standard,3,F6 B6 L6 R6,"Double, Clear, Non-metal, Air",42429.6572552536,Single-Family Detached,1,,1940-59,,Wood Frame,Composition Shingles,1 Car,
485,750-999,Natural Gas,"Wood Stud, Uninsulated",70F,55104,15 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,439040,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Natural Gas Standard,1,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",41197.0003341092,Single-Family Detached,1,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Unvented Attic
486,2500-2999,Propane,"Wood Stud, R-19",76F,89096,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2000s,75F,439301,Heated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Propane Standard,3,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",32725.487979711,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
487,1000-1499,Electricity,"Brick, 12-in, 3-wythe, Uninsulated",55F,0,30 ACH50,,Non-Ducted Heating,Not Available,<1940,65F,440462,Unheated Basement,Shared Heating,0,EF 19.9,Electric Standard,3,F18 B18 L18 R18,"Double, Clear, Metal, Air",16294.7515015755,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Brick,"Metal, Dark",,
488,3000-3999,Natural Gas,"Wood Stud, Uninsulated",72F,74877,15 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,<1940,72F,441134,Slab,"Fuel Furnace, 80% AFUE",2,EF 17.6,Natural Gas Standard,5,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",101606.567744428,Single-Family Detached,1,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
489,1500-1999,Other Fuel,"Wood Stud, R-19",68F,89311,8 ACH50,,Non-Ducted Heating,Owner,1980s,75F,441286,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",6,EF 19.9,Electric Premium,4,F15 B15 L15 R15,"Double, Clear, Metal, Air",24514.5158066958,Single-Family Detached,1,,1980-99,,Wood Frame,"Asphalt Shingles, Medium",2 Car,
490,1500-1999,Propane,"Wood Stud, R-11",65F,50608,6 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,70F,442291,Ambient,"Fuel Furnace, 80% AFUE",4,EF 19.9,Electric Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",32447.0704630474,Mobile Home,1,,1980-99,Room AC,Wood Frame,Wood Shingles,,
491,750-999,Natural Gas,"Wood Stud, Uninsulated",70F,42426,20 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,60F,443504,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 17.6,Natural Gas Tankless,2,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",34379.8741708332,Single-Family Detached,1,,<1940,Room AC,Wood Frame,"Metal, Dark",,Vented Attic
492,750-999,Electricity,"Wood Stud, R-7",70F,27012,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1970s,70F,443788,Vented Crawlspace,"Electric Furnace, 100% AFUE",1,EF 17.6,Propane Standard,2,F15 B15 L15 R15,"Single, Clear, Non-metal",21801.8499811817,Single-Family Attached,1,,1960-79,,Wood Frame,Composition Shingles,,Vented Attic
493,0-499,Natural Gas,"Wood Stud, Uninsulated",55F,0,30 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1960s,75F,443973,Heated Basement,"Fuel Furnace, 92.5% AFUE",0,EF 19.9,Electric Standard,2,F9 B9 L9 R9,"Double, Clear, Metal, Air",5647.47952221872,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,"Metal, Dark",1 Car,
494,1000-1499,Natural Gas,"Wood Stud, Uninsulated",72F,280058,25 ACH50,,Non-Ducted Heating,Owner,<1940,80F,444781,Vented Crawlspace,"Fuel Wall/Floor Furnace, 68% AFUE",2,EF 19.9,Natural Gas Standard,3,F9 B9 L9 R9,"Single, Clear, Non-metal",58375.361112254,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Metal, Dark",,Finished Attic or Cathedral Ceilings
495,2000-2499,Propane,"Wood Stud, R-19",68F,74751,7 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,70F,445023,Unheated Basement,"Fuel Furnace, 80% AFUE",1,EF 17.6,Electric Premium,3,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",41929.97108061,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
496,3000-3999,Propane,"Wood Stud, Uninsulated",68F,128814,7 ACH50,"10% Leakage to Outside, R-4",Ducted Heating,Owner,1980s,70F,446328,Slab,"Fuel Furnace, 92.5% AFUE",1,EF 17.6,Propane Tankless,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",54585.9521749272,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,"Metal, Dark",2 Car,Vented Attic
497,500-749,Electricity,"Brick, 12-in, 3-wythe, R-11",55F,0,8 ACH50,,Non-Ducted Heating,Not Available,1990s,60F,446568,Vented Crawlspace,Shared Heating,0,EF 17.6,Natural Gas Standard,1,F18 B18 L18 R18,"Single, Clear, Non-metal",6116.97937663462,Multi-Family with 5+ Units,3,67.0,1980-99,Room AC,Brick,"Asphalt Shingles, Medium",,
498,2000-2499,Fuel Oil,"Wood Stud, Uninsulated",76F,33335,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,72F,446580,Heated Basement,"Fuel Furnace, 80% AFUE",3,EF 17.6,Propane Standard,4,F15 B15 L15 R15,"Double, Clear, Metal, Air",64359.2862230305,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
499,500-749,Electricity,"Wood Stud, Uninsulated",75F,55104,30 ACH50,,Non-Ducted Heating,Renter,<1940,65F,447174,Unheated Basement,Shared Heating,2,EF 6.7,Natural Gas Standard,1,F15 B15 L15 R15,"Single, Clear, Non-metal",25156.6345214432,Multi-Family with 5+ Units,1,5.0,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
500,1500-1999,Natural Gas,"Wood Stud, Uninsulated",68F,36175,40 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,449349,Unheated Basement,"Fuel Furnace, 76% AFUE",1,EF 6.7,Natural Gas Standard,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",69673.5439384634,Single-Family Detached,1,,<1940,,Wood Frame,Composition Shingles,,Vented Attic
501,1000-1499,Other Fuel,"Wood Stud, R-19",70F,129299,8 ACH50,,Non-Ducted Heating,Owner,2000s,70F,452464,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",4,EF 19.9,FIXME Fuel Oil Indirect,3,F9 B9 L9 R9,"Double, Clear, Metal, Air",15053.302448326,Single-Family Detached,1,,2000-09,Room AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
502,1500-1999,Other Fuel,"Wood Stud, Uninsulated",67F,110733,25 ACH50,,Non-Ducted Heating,Renter,1960s,72F,452956,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",4,EF 15.9,Electric Premium,3,F15 B15 L15 R15,"Single, Clear, Non-metal, Exterior Clear Storm",18277.0842202204,Single-Family Detached,1,,1960-79,,Wood Frame,"Asphalt Shingles, Medium",,
503,750-999,Natural Gas,"Wood Stud, Uninsulated",68F,64407,30 ACH50,,Non-Ducted Heating,Renter,1960s,80F,453251,Unheated Basement,Shared Heating,1,EF 17.6,Natural Gas Standard,1,F18 B18 L18 R18,"Double, Clear, Metal, Air",20104.6754138144,Multi-Family with 5+ Units,3,116.0,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
504,3000-3999,Natural Gas,"Wood Stud, Uninsulated",75F,129243,25 ACH50,,Non-Ducted Heating,Owner,<1940,70F,453849,Unheated Basement,"Fuel Boiler, 76% AFUE",3,EF 17.6,Natural Gas Standard,4,F9 B9 L9 R9,"Single, Clear, Non-metal",126574.464496681,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
505,2000-2499,Natural Gas,"Wood Stud, Uninsulated",75F,270137,25 ACH50,,Non-Ducted Heating,Owner,<1940,72F,456293,Vented Crawlspace,"Fuel Boiler, 76% AFUE",4,EF 15.9,Natural Gas Standard,3,F12 B12 L12 R12,"Single, Clear, Non-metal",118266.485799438,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
506,1500-1999,Fuel Oil,"Wood Stud, R-7",65F,42426,20 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1970s,72F,456858,Slab,"Fuel Furnace, 80% AFUE",2,EF 17.6,Fuel Oil Standard,3,F18 B18 L18 R18,"Double, Clear, Metal, Air",34630.7430069006,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Wood Shingles,1 Car,
507,1000-1499,Fuel Oil,"Wood Stud, R-11",68F,12426,10 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Renter,1990s,75F,456980,Ambient,"Fuel Boiler, 80% AFUE",3,EF 17.6,Electric Standard,3,F18 B18 L18 R18,"Triple, Low-E, Non-metal, Air, L-Gain",32835.0965599554,Mobile Home,1,,1980-99,Central AC,Wood Frame,Slate,,
508,1000-1499,Other Fuel,"Wood Stud, Uninsulated",72F,89642,20 ACH50,,Non-Ducted Heating,Owner,1950s,65F,458439,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",4,EF 6.7,FIXME Fuel Oil Indirect,5,F18 B18 L18 R18,"Double, Clear, Metal, Air",16327.5754614348,Single-Family Detached,2,,1940-59,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
509,1500-1999,Natural Gas,"Wood Stud, Uninsulated",68F,87842,15 ACH50,"20% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,<1940,72F,461496,Unheated Basement,"Fuel Boiler, 80% AFUE",1,EF 6.7,Natural Gas Premium,4,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",46086.3049977924,Single-Family Detached,1,,<1940,Central AC,Wood Frame,"Metal, Dark",,
510,2500-2999,Natural Gas,"Wood Stud, R-7",62F,36175,15 ACH50,"20% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1970s,78F,463574,Unheated Basement,"Fuel Boiler, 80% AFUE",1,EF 17.6,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",43231.792774315,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Wood Shingles,2 Car,
511,1500-1999,Natural Gas,"Wood Stud, Uninsulated",75F,54746,6 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1960s,72F,464562,Slab,"Fuel Boiler, 80% AFUE",3,EF 17.6,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",46806.3806172056,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
512,1500-1999,Fuel Oil,"Wood Stud, Uninsulated",70F,108692,25 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,72F,465328,Ambient,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",61387.5455714841,Mobile Home,1,,1940-59,Room AC,Wood Frame,"Metal, Dark",,
513,750-999,Electricity,"Wood Stud, R-7",68F,36175,8 ACH50,"20% Leakage to Outside, Uninsulated",Non-Ducted Heating,Renter,1970s,70F,467301,Unheated Basement,"Electric Baseboard, 100% Efficiency",1,EF 17.6,Electric Premium,1,F18 B18 L18 R18,"Single, Clear, Metal",15529.2498662857,Multi-Family with 5+ Units,1,5.0,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
514,3000-3999,Natural Gas,"Wood Stud, R-19",70F,273335,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,67F,468050,Slab,"Fuel Furnace, 92.5% AFUE",5,EF 19.9,Natural Gas Standard,5,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",62262.069644878,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Composition Shingles,,
515,1000-1499,Natural Gas,"Wood Stud, Uninsulated",75F,19323,25 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1950s,78F,469363,Slab,"Fuel Furnace, 92.5% AFUE",1,EF 19.9,Natural Gas Standard,3,F15 B15 L15 R15,"Double, Clear, Metal, Air",43155.0081539298,Single-Family Attached,1,,1940-59,Central AC,Wood Frame,"Tile, Clay or Ceramic",,
516,1000-1499,Natural Gas,"Wood Stud, R-19",65F,108692,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,75F,469814,Heated Basement,"Fuel Furnace, 80% AFUE",2,EF 6.7,Natural Gas Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal",27001.5169081773,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Wood Shingles,,
517,2500-2999,Propane,"Wood Stud, R-19",78F,54023,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,75F,475067,Unheated Basement,"Fuel Furnace, 80% AFUE",1,EF 10.5,Propane Tankless,3,F15 B15 L15 R15,"Double, Clear, Metal, Air",86411.1258270692,Single-Family Detached,2,,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
518,1000-1499,Natural Gas,"Wood Stud, R-11",68F,64622,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1990s,80F,475226,Vented Crawlspace,"Fuel Furnace, 80% AFUE",7,EF 19.9,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",41627.5217361922,Single-Family Attached,1,,1980-99,Room AC,Wood Frame,Composition Shingles,,
519,2000-2499,Natural Gas,"Wood Stud, R-19",68F,82516,4 ACH50,"10% Leakage to Outside, R-8",Ducted Heating,Owner,2000s,75F,475475,Slab,"Fuel Furnace, 80% AFUE",3,EF 19.9,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",33155.4232396536,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
520,1500-1999,Natural Gas,"Wood Stud, R-11",60F,128932,7 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,68F,475546,Unheated Basement,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Natural Gas Standard,2,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",22796.5331933463,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
521,2500-2999,Other Fuel,"Wood Stud, R-11",70F,128932,5 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,2010s,75F,477541,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,Propane Standard,4,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",8246.72684357616,Single-Family Detached,1,,2010s,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
522,3000-3999,Propane,"Wood Stud, R-19",68F,273335,6 ACH50,,Non-Ducted Heating,Owner,2010s,70F,478943,Unvented Crawlspace,"Fuel Wall/Floor Furnace, 60% AFUE",5,EF 21.9,Propane Standard,4,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain",64723.2804921844,Single-Family Detached,1,,2010s,Room AC,Wood Frame,"Metal, Dark",2 Car,
523,2000-2499,Fuel Oil,"Wood Stud, R-19",70F,109096,6 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2000s,60F,479755,Heated Basement,"Fuel Furnace, 92.5% AFUE",5,EF 15.9,Fuel Oil Standard,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",36624.5054972822,Single-Family Detached,1,,2000-09,Room AC,Wood Frame,"Metal, Dark",1 Car,Vented Attic
524,2000-2499,Fuel Oil,"Wood Stud, Uninsulated",72F,92315,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1960s,68F,479965,Heated Basement,"Fuel Furnace, 76% AFUE",3,EF 17.6,Fuel Oil Standard,4,F15 B15 L15 R15,"Single, Clear, Non-metal",67132.6177600702,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
525,3000-3999,Natural Gas,"Wood Stud, Uninsulated",55F,0,7 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,<1940,78F,480064,Vented Crawlspace,"Fuel Furnace, 80% AFUE",0,EF 17.6,Natural Gas Standard,4,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",38079.3102896171,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,
526,500-749,Natural Gas,"Wood Stud, R-7",55F,0,30 ACH50,,Non-Ducted Heating,Not Available,1970s,60F,480394,Slab,"Fuel Wall/Floor Furnace, 68% AFUE",0,EF 17.6,Natural Gas Standard,2,F9 B9 L9 R9,"Single, Clear, Non-metal",10065.2328339948,Multi-Family with 2 - 4 Units,2,4.0,1960-79,Room AC,Wood Frame,Wood Shingles,,
527,750-999,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,32414,15 ACH50,,Ducted Heating,Renter,<1940,72F,480412,Unheated Basement,Shared Heating,5,EF 17.6,Natural Gas Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal",27345.2892734893,Multi-Family with 2 - 4 Units,2,4.0,<1940,Room AC,Brick,Composition Shingles,,
528,2500-2999,Natural Gas,"Wood Stud, R-11",70F,168960,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2010s,75F,480797,Heated Basement,"Fuel Furnace, 92.5% AFUE",4,EF 19.9,Natural Gas Tankless,5,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",52821.9574035606,Single-Family Detached,2,,2010s,Central AC,Wood Frame,"Metal, Dark",2 Car,Unvented Attic
